################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.9746440900608981E-01 a       479     0    20     1     4
 -9.9312800750219943E-01 a       480     0    20     1     5
  1.4106646023611991E-01 a       481     0    20     1     6
  4.6321328749312218E-01 a       482     0    20     1     7
  1.5734118850179182E+00 a       483     0    20     1     8
 -3.4025281810680741E+00 a       484     0    20     1     9
  4.6453048972942967E-01 a       485     0    20     1    10
  1.3131417921257785E-01 a       486     0    20     1    11
  5.3118566103529985E-01 a       487     0    20     1    12
  4.3544192222520711E-01 a       488     0    20     1    13
 -6.2312165322964697E-01 a       489     0    20     1    14
  3.2446052875501069E-01 a       490     0    20     1    15
  9.4228091151641402E-01 a       491     0    20     1    16
  7.3559389382457507E-01 a       492     0    20     1    17
 -4.4066868741538462E-01 a       493     0    20     1    18
  3.4636038163471528E-01 a       494     0    20     1    19
  7.5473924132836379E-01 a       495     0    20     1    20
  1.7650994984647653E-01 a       496     0    20     1    21
  2.8099763275570999E-01 a       497     0    20     1    22
  6.1429373707036528E-01 a       498     0    20     1    23
  4.1417852317188009E-01 a       499     0    20     1    24
  6.2938196103705324E-01 a       500     0    20     1    25
  4.3984863185504591E-01 a       501     0    21     1     1
 -3.2667648423435225E-01 a       502     0    21     1     2
